date,open,close,high,low,volume
2022-01-04,5991.91,5958.74,5995.15,5920.41,933667559.0
2022-01-05,5949.01,5868.58,5949.79,5843.88,954864823.0
2022-01-06,5837.8,5855.53,5868.57,5801.15,838870344.0
2022-01-07,5860.04,5811.61,5878.78,5808.18,943757518.0
2022-01-10,5798.81,5839.64,5841.27,5764.16,777098055.0
2022-01-11,5837.21,5787.49,5852.9,5778.36,790310158.0
2022-01-12,5812.1,5857.31,5859.0,5805.59,769140379.0
2022-01-13,5864.0,5768.85,5864.0,5768.85,823412152.0
2022-01-14,5743.46,5746.23,5783.96,5729.45,840018640.0
2022-01-17,5751.11,5814.11,5819.22,5751.11,778404719.0
2022-01-18,5815.2,5823.33,5846.64,5790.12,885440685.0
2022-01-19,5814.07,5784.12,5830.4,5752.13,777871623.0
2022-01-20,5782.51,5756.52,5811.04,5743.34,851803124.0
2022-01-21,5739.66,5695.02,5747.83,5683.36,726789476.0
2022-01-24,5664.63,5704.39,5722.18,5658.36,621328354.0
2022-01-25,5679.38,5531.88,5702.41,5531.88,734181674.0
2022-01-26,5550.52,5568.44,5586.75,5496.69,587445224.0
2022-01-27,5566.47,5433.24,5566.49,5431.03,614173875.0
2022-01-28,5465.54,5405.91,5487.54,5369.54,610310234.0
2022-02-07,5487.31,5484.44,5510.31,5467.43,656817059.0
2022-02-08,5479.06,5490.48,5490.48,5384.37,722616640.0
2022-02-09,5489.8,5560.69,5565.88,5478.02,739862788.0
2022-02-10,5563.55,5544.29,5563.55,5507.66,722716736.0
2022-02-11,5519.02,5471.57,5547.81,5464.77,756235885.0
2022-02-14,5444.06,5432.64,5484.96,5407.86,670379393.0
2022-02-15,5437.42,5490.89,5492.17,5430.28,614219442.0
2022-02-16,5514.1,5522.11,5536.65,5504.52,616398396.0
2022-02-17,5517.35,5532.49,5560.57,5503.83,685507838.0
2022-02-18,5501.87,5564.38,5564.38,5494.22,646133384.0
2022-02-21,5564.92,5582.13,5583.63,5547.24,709699988.0
2022-02-22,5549.05,5518.63,5549.05,5489.06,742762175.0
2022-02-23,5526.42,5601.32,5602.88,5526.42,741858103.0
2022-02-24,5570.01,5483.35,5602.63,5422.1,1062518804.0
2022-02-25,5524.35,5536.75,5585.57,5522.65,775362627.0
2022-02-28,5534.01,5554.68,5554.68,5482.73,707438452.0
2022-03-01,5569.87,5588.58,5590.44,5549.6,685644962.0
2022-03-02,5562.61,5564.6,5568.55,5533.54,692720296.0
2022-03-03,5584.65,5532.53,5589.59,5523.15,821421250.0
2022-03-04,5494.48,5464.87,5526.99,5447.38,798097168.0
2022-03-07,5439.3,5323.15,5439.3,5301.9,781533428.0
2022-03-08,5327.08,5184.96,5345.53,5167.43,853578759.0
2022-03-09,5199.58,5128.01,5226.0,4929.48,935447498.0
2022-03-10,5239.95,5220.5,5269.56,5212.75,794030802.0
2022-03-11,5150.42,5248.11,5256.95,5089.84,788702203.0
2022-03-14,5192.77,5098.41,5228.66,5098.41,712834127.0
2022-03-15,5048.02,4854.05,5082.18,4854.05,911004658.0
2022-03-16,4937.3,5040.99,5053.29,4781.18,903320303.0
2022-03-17,5120.19,5135.63,5216.43,5114.87,905741306.0
2022-03-18,5114.19,5179.14,5192.51,5100.37,780558355.0
2022-03-21,5191.78,5200.6,5224.9,5146.63,785317879.0
2022-03-22,5191.43,5191.67,5227.54,5165.14,781411961.0
2022-03-23,5204.62,5216.87,5231.1,5180.45,759874355.0
2022-03-24,5187.79,5174.91,5206.13,5140.47,730382141.0
2022-03-25,5174.86,5103.07,5189.18,5103.07,739222088.0
2022-03-28,5059.57,5078.44,5114.21,5010.79,731305336.0
2022-03-29,5087.03,5053.11,5107.96,5038.33,705834955.0
2022-03-30,5078.31,5174.75,5174.75,5073.24,776771764.0
2022-03-31,5156.34,5134.62,5168.54,5125.39,852806198.0
2022-04-01,5104.16,5170.98,5184.53,5089.99,809980870.0
2022-04-06,5158.4,5167.55,5173.29,5129.42,876397675.0
2022-04-07,5140.59,5076.52,5174.32,5076.52,842754628.0
2022-04-08,5080.6,5078.0,5092.92,5010.57,835627048.0
2022-04-11,5050.73,4916.17,5050.73,4897.39,846830651.0
2022-04-12,4913.12,5001.97,5001.97,4877.75,828774475.0
2022-04-13,4973.61,4933.02,5001.72,4933.02,788366754.0
2022-04-14,4963.6,4993.45,5019.95,4949.74,739675871.0
2022-04-15,4962.51,4957.72,4992.19,4932.31,805085317.0
2022-04-18,4918.66,4957.23,4966.26,4880.26,674613674.0
2022-04-19,4952.61,4947.55,4983.93,4919.21,659617002.0
2022-04-20,4943.37,4867.24,4947.78,4852.29,719951788.0
2022-04-21,4843.09,4731.33,4876.56,4714.19,768201263.0
2022-04-22,4698.66,4718.91,4757.89,4661.57,666738271.0
2022-04-25,4630.78,4432.89,4638.22,4432.89,840489526.0
2022-04-26,4436.79,4351.27,4486.28,4339.93,791036706.0
2022-04-27,4308.27,4503.95,4504.05,4302.04,848066912.0
2022-04-28,4481.14,4501.36,4542.1,4443.87,738806185.0
2022-04-29,4527.35,4647.02,4652.18,4507.1,838235003.0
2022-05-05,4630.04,4676.85,4710.21,4625.25,754621608.0
2022-05-06,4574.78,4580.55,4624.35,4562.29,680092613.0
2022-05-09,4561.46,4587.44,4613.52,4558.01,598051763.0
2022-05-10,4523.88,4651.72,4660.57,4511.91,744922559.0
2022-05-11,4654.46,4703.87,4789.69,4654.14,888588698.0
2022-05-12,4675.52,4704.52,4731.14,4664.64,712278430.0
2022-05-13,4728.49,4739.19,4748.38,4694.11,683925994.0
2022-05-16,4770.44,4721.8,4777.76,4707.39,712531696.0
2022-05-17,4723.76,4759.94,4759.94,4692.29,678705546.0
2022-05-18,4765.85,4755.46,4790.87,4733.13,674173624.0
2022-05-19,4687.86,4778.54,4778.54,4680.55,712446334.0
2022-05-20,4799.51,4857.26,4857.26,4799.23,773426659.0
2022-05-23,4865.21,4868.52,4870.95,4829.19,732330046.0
2022-05-24,4868.05,4714.13,4868.55,4714.13,859030682.0
2022-05-25,4712.5,4769.14,4769.14,4709.36,675719270.0
2022-05-26,4774.83,4792.16,4813.69,4710.48,729527610.0
2022-05-27,4817.25,4795.29,4844.41,4764.75,715295059.0
2022-05-30,4815.59,4834.67,4835.75,4783.98,684661166.0
2022-05-31,4836.51,4901.99,4906.51,4812.55,753015655.0
2022-06-01,4892.17,4904.74,4918.39,4868.82,730704910.0
2022-06-02,4884.42,4931.21,4933.79,4874.89,718217539.0
2022-06-06,4933.52,5027.55,5028.09,4916.82,830170287.0
2022-06-07,5028.56,5031.34,5051.86,4995.87,807062986.0
2022-06-08,5035.19,5061.66,5067.77,4977.35,860494205.0
2022-06-09,5051.56,4994.07,5058.6,4971.55,810084470.0
2022-06-10,4959.29,5079.69,5082.47,4955.86,837161767.0
2022-06-13,5035.78,5058.04,5080.17,5012.41,860745728.0
2022-06-14,5004.79,5084.09,5084.63,4932.69,893651762.0
2022-06-15,5089.5,5111.96,5197.95,5088.85,1060846473.0
2022-06-16,5113.86,5107.8,5155.43,5090.25,879587260.0
2022-06-17,5072.72,5165.79,5174.39,5069.52,817702762.0
2022-06-20,5179.4,5200.68,5232.48,5158.05,848367633.0
2022-06-21,5198.45,5177.68,5219.39,5129.06,845775637.0
2022-06-22,5182.59,5111.06,5184.72,5109.68,778009941.0
2022-06-23,5117.21,5208.37,5208.37,5092.54,837160834.0
2022-06-24,5220.58,5269.81,5276.1,5214.47,851562226.0
2022-06-27,5294.53,5322.66,5346.38,5294.53,888011146.0
2022-06-28,5321.71,5386.11,5391.14,5294.06,907668443.0
2022-06-29,5368.68,5281.53,5391.47,5277.44,978238875.0
2022-06-30,5282.56,5350.83,5381.36,5282.56,846438762.0
2022-07-01,5353.51,5336.14,5366.63,5318.91,769018789.0
2022-07-04,5323.0,5381.56,5381.56,5294.16,782069830.0
2022-07-05,5389.88,5364.21,5409.85,5302.91,865206607.0
2022-07-06,5346.8,5293.9,5356.35,5252.39,794343125.0
2022-07-07,5293.82,5329.09,5343.8,5260.18,751059626.0
2022-07-08,5352.48,5308.52,5365.16,5304.67,748181961.0
2022-07-11,5286.86,5231.29,5286.86,5196.42,752476795.0
2022-07-12,5229.49,5167.81,5246.12,5160.39,740457865.0
2022-07-13,5167.47,5194.87,5213.59,5142.03,740593693.0
2022-07-14,5183.87,5215.73,5247.3,5173.26,784992876.0
2022-07-15,5191.48,5133.32,5235.0,5133.32,839265774.0
2022-07-18,5147.47,5210.42,5212.78,5122.49,782346362.0
2022-07-19,5211.38,5214.09,5228.07,5175.0,764856955.0
2022-07-20,5233.87,5252.89,5261.85,5224.89,724723055.0
2022-07-21,5240.77,5206.88,5254.25,5206.88,777843314.0
2022-07-22,5218.38,5194.89,5243.94,5153.5,722717079.0
2022-07-25,5194.35,5151.87,5202.17,5138.79,664461938.0
2022-07-26,5157.34,5201.61,5209.5,5135.99,641352942.0
2022-07-27,5191.69,5209.35,5218.05,5180.05,645921898.0
2022-07-28,5232.51,5224.38,5264.28,5215.62,746969689.0
2022-07-29,5227.14,5174.98,5241.99,5165.51,745292286.0
2022-08-01,5165.96,5206.5,5209.77,5133.08,704284710.0
2022-08-02,5152.06,5069.12,5152.06,5019.72,934408077.0
2022-08-03,5075.83,5026.75,5134.52,5013.99,803534809.0
2022-08-04,5054.1,5069.67,5076.67,5007.78,646674118.0
