date,star,market,source_type,realtime_or_backfilled,confidence,evidence_method,evidence,review_status,drive_file_id,drive_url,title,notes,image_drive_file_id,image_drive_url
2025-01-02,5.2,A股,公众号当日估值文章,realtime,1.0,closing_statement,截止到收盘，回到5.2星,auto_high_confidence,13ERqmF-quaos1t3uwIFRKAnik3NPLqgc,https://drive.google.com/file/d/13ERqmF-quaos1t3uwIFRKAnik3NPLqgc/view?usp=drivesdk,［1月2日］指数估值数据(开年大跌的原因；红利指数估值表更新；指数日报更新）,,,
2025-01-03,5.2,A股,公众号当日估值文章,realtime,1.0,closing_statement,截止到收盘，还在5.2星,auto_high_confidence,1myCkuClIFPpxBo-idmk1IBqqmo8LRxoq,https://drive.google.com/file/d/1myCkuClIFPpxBo-idmk1IBqqmo8LRxoq/view?usp=drivesdk,［1月3日］指数估值数据(小微盘股，从炒作到下跌，会对我们投资产生影响么；抽奖福利）,,,
2025-01-07,5.2,A股,公众号当日估值文章,realtime,0.995,today_market_statement,今天大盘低开高走，全天整体上涨，回到5.2星,auto_high_confidence,1Z0AB4mv1v9WZm1ZXzZOfUIFWqJw6NRiZ,https://drive.google.com/file/d/1Z0AB4mv1v9WZm1ZXzZOfUIFWqJw6NRiZ/view?usp=drivesdk,［1月7日］指数估值数据(螺丝钉定投实盘第348期：投顾组合发车）,,,
2025-01-08,5.2,A股,公众号当日估值文章,realtime,0.99,opening_state_statement,还在5.2星,auto_high_confidence,1Grou9FdQ3AvFmJc_yselg_uQMvUu8yXe,https://drive.google.com/file/d/1Grou9FdQ3AvFmJc_yselg_uQMvUu8yXe/view?usp=drivesdk,［1月8日］指数估值数据(A股深V反弹；价值投资在A股有效吗）,,,
2025-01-09,5.2,A股,公众号当日估值文章,realtime,1.0,closing_statement,截止到收盘，还在5.2星,auto_high_confidence,1Df7RqjImR7nhwdlPnLdRA22jFVdIzDED,https://drive.google.com/file/d/1Df7RqjImR7nhwdlPnLdRA22jFVdIzDED/view?usp=drivesdk,［1月9日］指数估值数据(高溢价的ETF还能买吗；红利指数估值表更新；抄底达人徽章来了）,,,
2025-01-10,5.3,A股,公众号当日估值文章,realtime,1.0,closing_statement,截止到收盘，大盘回到5.3星,auto_high_confidence,17IO1sDp_d77A7Td42Fhrv2xHzkOYc2Jh,https://drive.google.com/file/d/17IO1sDp_d77A7Td42Fhrv2xHzkOYc2Jh/view?usp=drivesdk,［1月10日］指数估值数据(股债回调；基金会不会卖不出去呢；抽奖福利）,,,
2025-01-13,5.3,A股,公众号当日估值文章,realtime,1.0,closing_statement,截止到收盘，还在5.3星,auto_high_confidence,1OitBHY9-LeAoxnlLf0B4Tj-1TSjylNXF,https://drive.google.com/file/d/1OitBHY9-LeAoxnlLf0B4Tj-1TSjylNXF/view?usp=drivesdk,［1月13日］指数估值数据(红利指数的优缺点是什么；月薪宝发薪日）,,,
2025-01-14,5.2,A股,公众号当日估值文章,realtime,0.995,today_market_statement,今天大盘低开高走，整体上涨，回到5.2星,auto_high_confidence,1keYsupoIlKWBrZJtL_ucf4sjtAW1ujm5,https://drive.google.com/file/d/1keYsupoIlKWBrZJtL_ucf4sjtAW1ujm5/view?usp=drivesdk,［1月14日］指数估值数据(螺丝钉定投实盘第349期：投顾组合发车）,,,
2025-01-15,5.2,A股,公众号当日估值文章,realtime,1.0,closing_statement,截止到收盘，还在5.2星,auto_high_confidence,1LydqK2JJ8CCq54Jn3qgThb8E-NuIDJ_X,https://drive.google.com/file/d/1LydqK2JJ8CCq54Jn3qgThb8E-NuIDJ_X/view?usp=drivesdk,［1月15日］指数估值数据(债券基金也会有熊市吗；领取抄底达人徽章）,,,
2025-01-16,5.2,A股,公众号当日估值文章,realtime,0.995,today_market_statement,今天大盘整体微涨，还在5.2星,auto_high_confidence,19O67EQn9ZPRw3g9vVdYIZpBTmFLwgdpt,https://drive.google.com/file/d/19O67EQn9ZPRw3g9vVdYIZpBTmFLwgdpt/view?usp=drivesdk,［1月16日］指数估值数据(想要获得分红，买啥基金呢；红利指数估值表更新；指数日报更新）,,,
2025-01-20,5.1,A股,公众号当日估值文章,realtime,1.0,closing_statement,截止到收盘，回到5.1星,auto_high_confidence,102FABcO4xSbsU8pYfWsEefhtARRIsAPU,https://drive.google.com/file/d/102FABcO4xSbsU8pYfWsEefhtARRIsAPU/view?usp=drivesdk,［1月20日］指数估值数据(A股港股整体上涨；牛市买老基，熊市买新基，有道理吗；月薪宝发薪日；黄金星级更新）,,,
2025-01-21,5.1,A股,公众号当日估值文章,realtime,0.99,opening_state_statement,还在5.1星,auto_high_confidence,1Llg0C1b_Cb6ssotvK96pzPBQFPZjNPLe,https://drive.google.com/file/d/1Llg0C1b_Cb6ssotvK96pzPBQFPZjNPLe/view?usp=drivesdk,［1月21日］指数估值数据(螺丝钉定投实盘第350期：投顾组合发车）,,,
2025-01-22,5.2,A股,公众号当日估值文章,realtime,1.0,closing_statement,截止到收盘，回到5.2星,auto_high_confidence,1vYUu5TWD_BcogpQ1fwSYldcXTr6St3Bh,https://drive.google.com/file/d/1vYUu5TWD_BcogpQ1fwSYldcXTr6St3Bh/view?usp=drivesdk,［1月22日］指数估值数据(A股港股下跌，利空来袭，影响大么）,,,
2025-01-23,5.2,A股,公众号当日估值文章,realtime,0.995,today_market_statement,今天大盘开盘上涨，不过之后回落，全天下来微涨微跌，还在5.2星,auto_high_confidence,1PA2YBJCFz5WFp_H6QBk46WfBWHzkXsrm,https://drive.google.com/file/d/1PA2YBJCFz5WFp_H6QBk46WfBWHzkXsrm/view?usp=drivesdk,［1月23日］指数估值数据(长期资金入市，会给A股带来改变吗；红利指数、养老指数估值表更新；指数日报更新）,,,
2025-01-24,5.1,A股,公众号当日估值文章,realtime,1.0,closing_statement,截止到收盘，回到5.1星,auto_high_confidence,1bQeCdDPbtrIMw9BwmOnOwQnAt7vlsRSH,https://drive.google.com/file/d/1bQeCdDPbtrIMw9BwmOnOwQnAt7vlsRSH/view?usp=drivesdk,［1月24日］指数估值数据(港股大涨；假期前买啥还有收益；假期安排）,,,
2025-01-27,5.2,A股,公众号当日估值文章,realtime,0.99,opening_state_statement,回到5.2星,auto_high_confidence,1mv1LmTbnRzbaW6eCALRglLPe-XbGkPgu,https://drive.google.com/file/d/1mv1LmTbnRzbaW6eCALRglLPe-XbGkPgu/view?usp=drivesdk,［1月27日］指数估值数据(免费领蛇年红包封面；指数基金为啥占比越来越高；春节快乐）,,,
2025-02-05,5.1,A股,公众号当日估值文章,realtime,1.0,closing_statement,截止到收盘，还在5.1星,auto_high_confidence,1-0ojzt8GpqmLtMi6Ww_w8Q4toBNL6WpG,https://drive.google.com/file/d/1-0ojzt8GpqmLtMi6Ww_w8Q4toBNL6WpG/view?usp=drivesdk,［2月5日］指数估值数据(大盘高开低走，成长价值风格轮动，该如何搭配；实时星级从哪看）,,,
2025-02-06,5.1,A股,公众号当日估值文章,realtime,1.0,closing_statement,截止到收盘，大盘整体上涨，还在5.1星,auto_high_confidence,1bytvtstPhvPvmHBOa70JrZ6JzFVYeNqL,https://drive.google.com/file/d/1bytvtstPhvPvmHBOa70JrZ6JzFVYeNqL/view?usp=drivesdk,［2月6日］指数估值数据(普涨行情；基金经理离职怎么办；红利指数估值表更新；指数日报更新）,,,
2025-02-07,5.0,A股,公众号当日估值文章,realtime,0.99,opening_state_statement,回到5星,auto_high_confidence,1-LI4uSX5GOhgfYYiydUxzk27bfsZSAnF,https://drive.google.com/file/d/1-LI4uSX5GOhgfYYiydUxzk27bfsZSAnF/view?usp=drivesdk,［2月7日］指数估值数据(继续上涨，回到5星；港股科技类指数怎么选择；抽奖福利）,,,
2025-02-10,5.0,A股,公众号当日估值文章,realtime,1.0,closing_statement,截止到收盘，还在5星,auto_high_confidence,1BRX8hNb5tTcl08VDFgAOTqkCWFzmdEwD,https://drive.google.com/file/d/1BRX8hNb5tTcl08VDFgAOTqkCWFzmdEwD/view?usp=drivesdk,［2月10日］指数估值数据(港股领涨A股会跟上么；基金持股规模增长，资金从哪里来；月薪宝发薪日；黄金星级更新）,,,
2025-02-11,5.0,A股,公众号当日估值文章,realtime,1.0,closing_statement,截止到收盘，还在5星,auto_high_confidence,1kPK9un37YbX66wfv9p2zHrfd3d5z9_Xu,https://drive.google.com/file/d/1kPK9un37YbX66wfv9p2zHrfd3d5z9_Xu/view?usp=drivesdk,［2月11日］指数估值数据(螺丝钉定投实盘第351期：投顾组合发车；个人养老金定投实盘第1期）,,,
2025-02-12,5.0,A股,公众号当日估值文章,realtime,1.0,closing_statement,截止到收盘，还在5星,auto_high_confidence,1ZxtYYvFhyZpxXVhiHmYvIlwV5ZAQO5bq,https://drive.google.com/file/d/1ZxtYYvFhyZpxXVhiHmYvIlwV5ZAQO5bq/view?usp=drivesdk,［2月12日］指数估值数据(港股科技大涨，还在低估吗；红利指数低迷，该如何看待）,,,
2025-02-13,5.0,A股,公众号当日估值文章,realtime,0.99,opening_state_statement,还在5星,auto_high_confidence,114EVe43zrKwhBD-LvGJdzw7XcSK1J8sO,https://drive.google.com/file/d/114EVe43zrKwhBD-LvGJdzw7XcSK1J8sO/view?usp=drivesdk,［2月13日］指数估值数据(投资债券基金怎么选；红利指数估值表更新；指数日报更新）,,,
2025-02-14,5.0,A股,公众号当日估值文章,realtime,1.0,closing_statement,截止到收盘，还在5星,auto_high_confidence,1TH1fndCqzf5vFgnTKju0Lwlj9SqTAaFc,https://drive.google.com/file/d/1TH1fndCqzf5vFgnTKju0Lwlj9SqTAaFc/view?usp=drivesdk,［2月14日］指数估值数据(港股科技股大涨，有哪些对应的指数；免费领抄底达人奖章；抽奖福利）,,,
2025-02-17,4.9,A股,公众号当日估值文章,realtime,0.985,dated_current_statement,目前2025年2月17日，市场在4.9星级,auto_high_confidence,1EKW1MV0BC-mdr3YK7NF5wkxks7TRNhSo,https://drive.google.com/file/d/1EKW1MV0BC-mdr3YK7NF5wkxks7TRNhSo/view?usp=drivesdk,［2月17日］指数估值数据(牛市会一路涨上去吗；月薪宝发薪日；黄金星级更新）,,,
2025-02-18,5.0,A股,公众号当日估值文章,realtime,1.0,closing_statement,到收盘回到5星,auto_high_confidence,1OHTp0dWotyfd8mc1bP8B6oIIKecrAWFk,https://drive.google.com/file/d/1OHTp0dWotyfd8mc1bP8B6oIIKecrAWFk/view?usp=drivesdk,［2月18日］指数估值数据(螺丝钉定投实盘第352期：投顾组合发车；个人养老金定投实盘第2期）,,,
2025-02-19,4.9,A股,公众号当日估值文章,realtime,1.0,manual_verification,今天大盘整体上涨，截止到收盘，又回到4.9星。,verified_manual,1efHhNEj-gZ5xltGmGzUwS3EVa_e2rrPO,https://drive.google.com/file/d/1efHhNEj-gZ5xltGmGzUwS3EVa_e2rrPO/view?usp=drivesdk,［2月19日］指数估值数据(A股上涨，回到4.9星；如果回到3星，大盘是多少点呢）,正文明确给出当日收盘星级,,
