date,star,star_low,star_high,star_text,status,method,evidence,source_file
2022-04-01,4.5,,,还是在4.5星级,exact,body_current_exact,今天是二季度第一天，大盘整体微涨，还是在4.5星级。,[2022-04-01-2159]4月1日指数估值数据美股国债收益率倒挂对我们有影响吗.md
2022-04-06,4.5,,,还是在4.5星级,exact,body_current_exact,今天大盘整体波动不大，还是在4.5星级。,[2022-04-06-2159]4月6日指数估值数据价值风格继续强势.md
2022-04-07,4.8,,,如果细一些计算目前算是4.8了,exact,body_current_exact,今天大盘整体下跌，还是在4.5星级。如果细一些计算，目前算是4.8了。,[2022-04-07-2154]4月7日指数估值数据美股利率上升对我们有什么影响.md
2022-04-08,4.5,,,还是在4.5星级的位置,exact,body_current_exact,今天大盘微微涨，变化不大，还是在4.5星级的位置。,[2022-04-08-2153]4月8日指数估值数据ETF的大买家.md
2022-04-11,4.9,,,昨天收盘的时候大盘回到了4.9星级,exact,body_previous_close_exact,4月12日正文明确回溯：昨天收盘的时候，大盘回到了4.9星级。,[2022-04-12-2151]4月12日指数估值数据螺丝钉定投实盘第213期投顾组合发车.md
2022-04-12,,,,反弹后目前还是在比较低的位置,unresolved_close,body_close_no_numeric_star,当天上午距离5星级只有一步之遥，下午拉升转涨；正文只写“虽然反弹，目前还是在比较低的位置”，未给出收盘/current具体星级。,[2022-04-12-2151]4月12日指数估值数据螺丝钉定投实盘第213期投顾组合发车.md
2022-04-13,4.9,,,昨天下跌后市场跌到4.9星级接近5星级的位置,exact,body_previous_close_exact,4月14日正文明确回溯：昨天下跌后，市场跌到4.9星级接近5星级的位置。,[2022-04-14-2155]4月14日指数估值数据降准对市场有什么影响.md
2022-04-14,4.8,4.8,4.8,目前还是在4.8星级上下,approx,body_current_approx,今天大盘整体上涨，目前还是在4.8星级上下。,[2022-04-14-2155]4月14日指数估值数据降准对市场有什么影响.md
2022-04-15,,4.8,4.9,还是在4.8-4.9星级上下,range,body_current_range,今天大盘整体微跌，还是在4.8-4.9星级上下。,[2022-04-15-2146]4月15日指数估值数据降准了.md
2022-04-18,,4.8,4.9,还是在4.8-4.9星级上下波动,range,body_current_range,今天大盘整体微跌，波动不大，还是在4.8-4.9星级上下波动。,[2022-04-18-2209]4月18日指数估值数据主动优选门槛降低.md
2022-04-19,,4.8,4.9,还是在4.8-4.9星级上下波动,range,body_current_range,今天大盘整体微跌，跟昨天变化不大。还是在4.8-4.9星级上下波动。,[2022-04-19-2159]4月19日指数估值数据螺丝钉定投实盘第214期投顾组合发车.md
2022-04-20,,,,距离5星级只有一步之遥,unresolved_close,body_close_no_numeric_star,今天大盘整体下跌，下跌后，距离5星级只有一步之遥了。正文未给出具体current/收盘星级。,[2022-04-20-2153]4月20日指数估值数据5星级一步之遥.md
2022-04-21,5.0,,,今天也回到了5星级,exact,body_current_exact,从估值的角度，今天也回到了5星级。也是继2018年底之后，时隔三四年，再次回到了5星级。,[2022-04-21-2141]4月21日指数估值数据时隔三四年重回5星级.md
2022-04-22,5.0,,,还是在刚进入5星级的位置,exact,body_current_exact,今天大盘整体微跌，还是在刚进入5星级的位置。,[2022-04-22-2144]4月22日指数估值数据熊市底部谁还在卖呢.md
2022-04-25,5.0,,,目前还是在5星级,exact,body_current_exact,今天大盘整体下跌，目前还是在5星级。,[2022-04-25-2219]4月25日指数估值数据跌破3000点意味着什么.md
2022-04-26,5.0,,,目前还是在5星级的位置,exact,body_current_exact,今天大盘波动比较大，目前还是在5星级的位置。,[2022-04-26-2156]4月26日指数估值数据螺丝钉定投实盘第215期投顾组合发车.md
2022-04-27,5.0,,,还是在5星级的位置,exact,body_current_exact,全天股票市场整体上涨。不过因为周一的时候大盘跌了6%，仅仅是今天一天反弹，还是在5星级的位置。,[2022-04-27-2205]4月27日指数估值数据反弹了还会有波动吗.md
2022-04-28,5.0,,,目前还是在5星级的位置,exact,body_current_exact,今天大盘整体波动不大，中证全指不涨不跌。目前还是在5星级的位置。,[2022-04-28-2205]4月28日指数估值数据这项交易费用下调了.md
2022-04-29,5.0,,,目前还是在5星级的位置,exact,body_current_exact,今天大盘整体上涨比较多。目前还是在5星级的位置。,[2022-04-29-2235]4月29日指数估值数据节前大涨还在5星级吗.md
