date,star,star_low,star_high,status
2023-01-03,5.0,5.0,5.0,exact
2023-01-04,5.0,5.0,5.0,exact
2023-01-05,4.9,4.9,4.9,exact
2023-01-06,4.9,4.9,4.9,exact
2023-01-09,4.9,4.9,4.9,exact
2023-01-10,4.9,4.9,4.9,exact
2023-01-11,4.9,4.9,4.9,exact
2023-01-12,4.9,4.9,4.9,exact
2023-01-13,4.9,4.9,4.9,exact
2023-01-16,4.8,4.8,4.8,exact
2023-01-17,4.8,4.8,4.8,exact
2023-01-18,4.8,4.8,4.8,exact
2023-01-19,4.8,4.8,4.8,exact
2023-01-20,4.8,4.8,4.8,exact
2023-01-30,4.7,4.7,4.7,exact
2023-01-31,4.8,4.8,4.8,exact
2023-02-01,4.7,4.7,4.7,exact
2023-02-02,4.7,4.7,4.7,exact
2023-02-03,4.7,4.7,4.7,exact
2023-02-06,4.8,4.8,4.8,exact
2023-02-07,,4.7,4.8,range
2023-02-08,4.8,4.8,4.8,exact
2023-02-09,4.7,4.7,4.7,exact
2023-02-10,4.8,4.8,4.8,exact
2023-02-13,4.7,4.7,4.7,exact
2023-02-14,4.7,4.7,4.7,exact
2023-02-15,4.7,4.7,4.7,exact
2023-02-16,4.8,4.8,4.8,exact
2023-02-17,4.8,4.8,4.8,exact
2023-02-20,4.7,4.7,4.7,exact
2023-02-21,4.7,4.7,4.7,exact
2023-02-22,4.7,4.7,4.7,exact
2023-02-23,4.7,4.7,4.7,exact
2023-02-24,4.8,4.8,4.8,exact
2023-02-27,4.8,4.8,4.8,exact
2023-02-28,4.8,4.8,4.8,exact
2023-03-01,4.7,4.7,4.7,exact
2023-03-02,4.7,4.7,4.7,exact
2023-03-03,4.7,4.7,4.7,exact
2023-03-06,4.7,4.7,4.7,exact
2023-03-07,4.8,4.8,4.8,exact
2023-03-08,4.8,4.8,4.8,exact
2023-03-09,4.8,4.8,4.8,exact
2023-03-10,,4.8,4.9,range
2023-03-13,4.8,4.8,4.8,exact
2023-03-14,4.9,4.9,4.9,exact
2023-03-15,4.8,4.8,4.8,exact
2023-03-16,4.9,4.9,4.9,exact
2023-03-17,4.9,4.9,4.9,exact
2023-03-20,4.9,4.9,4.9,exact
2023-03-21,,4.8,4.9,range
2023-03-22,4.8,4.8,4.8,exact
2023-03-23,4.8,4.8,4.8,exact
2023-03-24,4.8,4.8,4.8,exact
2023-03-27,4.8,4.8,4.8,exact
2023-03-28,4.8,4.8,4.8,exact
2023-03-29,4.8,4.8,4.8,exact
2023-03-30,4.8,4.8,4.8,exact
2023-03-31,4.8,4.8,4.8,exact
2023-04-03,,4.7,4.8,range
2023-04-04,,4.7,4.8,range
2023-04-06,4.8,4.8,4.8,exact
2023-04-07,,4.7,4.8,range
2023-04-10,,4.7,4.8,range
2023-04-11,,4.7,4.8,range
2023-04-12,,4.7,4.8,range
2023-04-13,4.8,4.8,4.8,approx
2023-04-14,,4.7,4.8,range
2023-04-17,,4.7,4.8,range
2023-04-18,,4.7,4.8,range
2023-04-19,,4.7,4.8,range
2023-04-20,,4.7,4.8,range
2023-04-21,4.8,4.8,4.8,exact
2023-04-24,4.9,4.9,4.9,exact
2023-04-25,4.9,4.9,4.9,exact
2023-04-26,4.9,4.9,4.9,exact
2023-04-27,4.9,4.9,4.9,exact
2023-04-28,4.9,4.9,4.9,exact
2023-05-04,,4.8,4.9,range
2023-05-05,4.9,4.9,4.9,exact
2023-05-08,,4.8,4.9,range
2023-05-09,4.9,4.9,4.9,exact
2023-05-10,4.9,4.9,4.9,exact
2023-05-11,4.9,4.9,4.9,exact
2023-05-12,4.9,4.9,4.9,exact
2023-05-15,4.9,4.9,4.9,exact
2023-05-16,4.9,4.9,4.9,exact
2023-05-17,4.9,4.9,4.9,exact
2023-05-18,4.9,4.9,4.9,exact
2023-05-19,4.9,4.9,4.9,exact
2023-05-22,4.9,4.9,4.9,exact
2023-05-23,5.0,5.0,5.0,exact
2023-05-24,5.0,5.0,5.0,exact
2023-05-25,5.0,5.0,5.0,exact
2023-05-26,5.0,5.0,5.0,exact
2023-05-29,5.0,5.0,5.0,exact
2023-05-30,5.0,5.0,5.0,exact
2023-05-31,5.0,5.0,5.0,exact
2023-06-01,5.0,5.0,5.0,exact
2023-06-02,5.0,5.0,5.0,exact
2023-06-05,5.0,5.0,5.0,exact
2023-06-06,5.0,5.0,5.0,exact
2023-06-07,5.0,5.0,5.0,exact
2023-06-08,5.0,5.0,5.0,exact
2023-06-09,5.0,5.0,5.0,exact
2023-06-12,5.0,5.0,5.0,exact
2023-06-13,5.0,5.0,5.0,exact
2023-06-14,5.0,5.0,5.0,exact
2023-06-15,4.9,4.9,4.9,exact
2023-06-16,4.9,4.9,4.9,exact
2023-06-19,4.9,4.9,4.9,exact
2023-06-20,4.9,4.9,4.9,exact
2023-06-21,5.0,5.0,5.0,exact
2023-06-26,5.0,5.0,5.0,exact
2023-06-27,5.0,5.0,5.0,exact
2023-06-28,5.0,5.0,5.0,exact
2023-06-29,5.0,5.0,5.0,exact
2023-06-30,5.0,5.0,5.0,exact
2023-07-03,4.9,4.9,4.9,exact
2023-07-04,4.9,4.9,4.9,exact
2023-07-05,,4.9,5.0,range
2023-07-06,5.0,5.0,5.0,exact
2023-07-07,5.0,5.0,5.0,exact
2023-07-10,5.0,5.0,5.0,exact
2023-07-11,,4.9,5.0,range
2023-07-12,5.0,5.0,5.0,exact
2023-07-13,,4.9,5.0,range
2023-07-14,4.9,4.9,4.9,exact
2023-07-17,5.0,5.0,5.0,exact
