date,star,star_low,star_high,star_text,status,method,evidence,source_file
2024-01-02,5.3,,,5.3星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-03,5.4,,,5.4星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-04,5.4,,,5.4星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-05,5.4,,,5.4星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-08,5.5,,,5.5星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-09,5.5,,,5.5星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-10,5.5,,,5.5星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-11,5.5,,,5.5星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-12,5.5,,,5.5星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-15,5.5,,,5.5星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-16,5.5,,,5.5星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-17,5.6,,,5.6星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-18,5.5,,,5.5星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-19,5.6,,,5.6星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-22,5.7,,,5.7星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-23,5.7,,,5.7星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-24,5.6,,,5.6星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-25,5.5,,,5.5星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-26,5.6,,,5.6星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-29,5.6,,,5.6星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-30,5.7,,,5.7星,exact,monthly_verified,,daily_star_2024_01.csv
2024-01-31,5.8,,,5.8星,exact,monthly_verified,,daily_star_2024_01.csv
2024-02-01,5.8,,,5.8星,exact,monthly_verified,,daily_star_2024_02.csv
2024-02-02,5.9,,,5.9星,exact,monthly_verified,,daily_star_2024_02.csv
2024-02-05,5.9,,,5.9星,exact,monthly_verified,,daily_star_2024_02.csv
2024-02-06,5.8,,,5.8星,exact,monthly_verified,,daily_star_2024_02.csv
2024-02-07,5.8,,,5.8星,exact,monthly_verified,,daily_star_2024_02.csv
2024-02-08,5.7,,,5.7星,exact,monthly_verified,,daily_star_2024_02.csv
2024-02-19,5.6,,,5.6星,exact,monthly_verified,,daily_star_2024_02.csv
2024-02-20,5.6,,,5.6星,exact,monthly_verified,,daily_star_2024_02.csv
2024-02-21,5.6,,,5.6星,exact,monthly_verified,,daily_star_2024_02.csv
2024-02-22,5.5,,,5.5星,exact,monthly_verified,,daily_star_2024_02.csv
2024-02-23,5.5,,,5.5星,exact,monthly_verified,,daily_star_2024_02.csv
2024-02-26,5.5,,,5.5星,exact,monthly_verified,,daily_star_2024_02.csv
2024-02-27,5.5,,,5.5星,exact,monthly_verified,,daily_star_2024_02.csv
2024-02-28,5.6,,,5.6星,exact,monthly_verified,,daily_star_2024_02.csv
2024-02-29,5.5,,,5.5星,exact,monthly_verified,,daily_star_2024_02.csv
2024-03-01,5.4,,,5.4星,exact,monthly_verified,,daily_star_2024_03.csv
2024-03-04,5.4,,,5.4星,exact,monthly_verified,,daily_star_2024_03.csv
2024-03-05,5.4,,,5.4星,exact,monthly_verified,,daily_star_2024_03.csv
